id_aircraft;n-number;company_id;model_id;engine_id;aircraft_type_id;year
5287;N924US;16;25;1;1;2015
5288;N924VA;8;33;1;1;2018
5289;N924WN;80;57;1;1;2008
5290;N924XJ;33;119;1;1;2008
5291;N925AE;16;135;1;1;2005
5292;N925AN;90;43;1;1;1999
5293;N925AT;23;76;1;1;2000
5294;N925DN;33;61;1;1;
5295;N925DZ;21;100;1;1;2019
5296;N925EV;79;118;1;1;2003
5297;N925FJ;93;119;1;1;2004
5298;N925NK;82;27;1;1;2020
5299;N925NN;90;43;1;1;2013
5300;N925SW;79;118;1;1;2002
5301;N925UY;16;25;1;1;2015
5302;N925VA;88;33;1;1;2017
5303;N925WN;90;57;1;1;2008
5304;N925XJ;33;119;1;1;2008
5305;N926AN;16;43;1;1;2000
5306;N926AT;93;76;1;1;2000
5307;N926DH;33;61;1;1;
5308;N926DZ;21;100;1;1;2019
5309;N926EV;79;118;1;1;2003
5310;N926LR;93;119;1;1;2004
5311;N926NK;82;27;1;1;2020
5312;N926NN;93;43;1;1;2013
5313;N926SW;79;118;1;1;2002
5314;N926UW;16;25;1;1;2015
5315;N926VA;21;33;1;1;2018
5316;N926WN;88;57;1;1;
5317;N926XJ;33;119;1;1;2008
5318;N927AN;16;43;1;1;2000
5319;N927AT;93;76;1;1;2000
5320;N927DN;33;61;1;1;1999
5321;N927DZ;21;100;1;1;2019
5322;N927EV;79;118;1;1;2003
5323;N927LR;93;119;1;1;2005
5324;N927NK;90;27;1;1;2020
5325;N927NN;90;43;1;1;2013
5326;N927SW;79;118;1;1;2002
5327;N927UW;16;25;1;1;2015
5328;N927VA;88;33;1;1;2018
5329;N927WN;80;57;1;1;
5330;N927XJ;33;119;1;1;2008
5331;N928AE;16;135;1;1;2005
5332;N928AM;16;25;1;1;2017
5333;N928AN;16;43;1;1;2000
5334;N928AT;93;76;1;1;2000
5335;N928DN;33;61;1;1;
5336;N928DU;21;100;1;1;2019
5337;N928EV;79;118;1;1;2004
5338;N928LR;93;119;1;1;2005
5339;N928NK;90;27;1;1;2019
5340;N928NN;93;43;1;1;2013
5341;N928SW;79;118;1;1;2002
5342;N928VA;21;33;1;1;2018
5343;N928WN;80;57;1;1;
5344;N928XJ;33;119;1;1;2008
5345;N929AA;16;25;1;1;2017
5346;N929AN;16;43;1;1;2000
5347;N929AT;93;76;1;1;2000
5348;N929DN;33;61;2;1;1996
5349;N929DZ;21;100;1;1;2019
5350;N929EV;79;118;1;1;2004
5351;N929JB;48;25;1;1;2014
5352;N929LR;93;119;1;1;2005
5353;N929NK;90;27;1;1;
5354;N929NN;93;43;1;1;2013
5355;N929SW;79;118;1;1;2002
5356;N929VA;21;33;1;1;2019
5357;N929WN;80;57;1;1;2008
5358;N929XJ;33;119;1;1;2008
5359;N93003;93;24;1;1;2013
5360;N930AN;16;43;1;1;2000
5361;N930AT;93;76;1;1;2000
5362;N930AU;16;25;1;1;2017
5363;N930DN;33;61;2;1;1996
5364;N930DZ;21;100;1;1;2019
5365;N930EV;79;118;1;1;
5366;N930LR;93;119;1;1;2005
5367;N930NK;82;27;1;1;2020
5368;N930NN;93;43;1;1;2013
5369;N930SW;79;118;1;1;2002
5370;N930VA;21;33;1;1;2019
5371;N930WN;93;57;1;1;2009
5372;N930XJ;33;119;1;1;2008
5373;N931AE;16;135;1;1;2005
5374;N931AM;16;25;1;1;2017
5375;N931AN;16;43;1;1;2000
5376;N931DN;33;61;2;1;1997
5377;N931EV;79;118;1;1;2005
5378;N931LR;93;119;1;1;2005
5379;N931NK;82;27;1;1;2020
5380;N931NN;93;43;1;1;2013
5381;N931WN;93;57;1;1;2009
5382;N931XJ;33;119;1;1;2008
5383;N932AE;16;135;1;1;2005
5384;N932AM;16;25;1;1;2017
5385;N932AN;16;43;1;1;2000
5386;N932AT;93;76;1;1;2000
5387;N932EV;79;118;1;1;2005
5388;N932LR;93;119;1;1;2005
5389;N932NN;93;43;1;1;2013
5390;N932SW;79;118;1;1;2002
5391;N932WN;93;57;1;1;2009
5392;N932XJ;33;119;1;1;2008
5393;N93305;89;4;1;1;2014
5394;N933AM;16;25;1;1;2017
5395;N933AN;16;43;1;1;2000
5396;N933AT;93;76;1;1;2000
5397;N933EV;79;118;1;1;2005
5398;N933JN;16;135;1;1;2005
5399;N933LR;93;119;1;1;2005
5400;N933NN;90;43;1;1;2013
5401;N933WN;93;57;1;1;2009
5402;N933XJ;33;119;1;1;2008
5403;N934AA;16;25;1;1;2017
5404;N934AN;16;43;1;1;2000
5405;N934AT;93;76;1;1;2000
5406;N934DN;33;61;1;1;1996
5407;N934FJ;93;119;1;1;2005
5408;N934JB;48;25;1;1;2014
5409;N934NN;93;43;1;1;2013
5410;N934SW;79;118;1;1;2002
5411;N934WN;93;57;1;1;2009
5412;N934XJ;33;119;1;1;2008
5413;N935AE;16;135;1;1;2005
5414;N935AN;16;43;1;1;2000
5415;N935AT;93;76;1;1;2000
5416;N935DN;33;61;2;1;1996
5417;N935JB;48;25;1;1;2014
5418;N935LR;93;119;1;1;2005
5419;N935NN;93;43;1;1;2013
5420;N935SW;79;118;1;1;2002
5421;N935WN;93;57;1;1;2009
5422;N935XJ;33;119;1;1;2008
5423;N936AN;16;43;1;1;2000
5424;N936AT;93;76;1;1;1999
5425;N936DN;33;61;2;1;1996
5426;N936EV;79;118;1;1;2005
5427;N936NN;90;43;1;1;2013
5428;N936SW;79;118;1;1;2002
5429;N936WN;80;57;1;1;2009
5430;N936XJ;33;119;1;1;2008
5431;N937AN;16;43;1;1;2000
5432;N937AT;23;76;1;1;2001
5433;N937EV;79;118;1;1;2005
5434;N937JB;48;25;1;1;2014
5435;N937NN;90;43;1;1;2013
5436;N937SW;79;118;1;1;2003
5437;N937WN;80;57;1;1;2009
5438;N937XJ;33;119;1;1;2008
5439;N938AN;90;43;1;1;2000
5440;N938AT;93;76;1;1;2006
