id_route;origin_cod;dest_cod
1265;BUF;FLL
1266;BUF;LAS
1267;BUF;MCO
1268;BUF;MDW
1269;BUF;PHX
1270;BUF;TPA
1271;BUR;DAL
1272;BUR;DEN
1273;BUR;HOU
1274;BUR;LAS
1275;BUR;MDW
1276;BUR;OAK
1277;BUR;PDX
1278;BUR;PHX
1279;BUR;SFO
1280;BUR;SJC
1281;BUR;SLC
1282;BUR;SMF
1283;BWI;ABQ
1284;BWI;ALB
1285;BWI;ATL
1286;BWI;AUS
1287;BWI;BDL
1288;BWI;BHM
1289;BWI;BNA
1290;BWI;BOS
1291;BWI;BUF
1292;BWI;CHS
1293;BWI;CLE
1294;BWI;CLT
1295;BWI;CMH
1296;BWI;CVG
1297;BWI;DAL
1298;BWI;DEN
1299;BWI;DTW
1300;BWI;FLL
1301;BWI;GRR
1302;BWI;HOU
1303;BWI;IND
1304;BWI;ISP
1305;BWI;JAX
1306;BWI;LAS
1307;BWI;LAX
1308;BWI;MCI
1309;BWI;MCO
1310;BWI;MDW
1311;BWI;MEM
1312;BWI;MHT
1313;BWI;MKE
1314;BWI;MSP
1315;BWI;MSY
1316;BWI;OAK
1317;BWI;OKC
1318;BWI;ORF
1319;BWI;PBI
1320;BWI;PHX
1321;BWI;PIT
1322;BWI;PVD
1323;BWI;PWM
1324;BWI;RDU
1325;BWI;ROC
1326;BWI;RSW
1327;BWI;SAN
1328;BWI;SAT
1329;BWI;SDF
1330;BWI;SJU
1331;BWI;STL
1332;BWI;TPA
1333;CHS;BNA
1334;CHS;BWI
1335;CHS;DAL
1336;CHS;HOU
1337;CHS;MDW
1338;CLE;ATL
1339;CLE;BNA
1340;CLE;BWI
1341;CLE;DEN
1342;CLE;LAS
1343;CLE;MDW
1344;CLE;MKE
1345;CLE;PHX
1346;CLE;STL
1347;CLT;BNA
1348;CLT;BWI
1349;CLT;DAL
1350;CLT;HOU
1351;CLT;MDW
1352;CMH;ATL
1353;CMH;BNA
1354;CMH;BOS
1355;CMH;BWI
1356;CMH;DAL
1357;CMH;DCA
1358;CMH;DEN
1359;CMH;FLL
1360;CMH;HOU
1361;CMH;LAS
1362;CMH;MCO
1363;CMH;MDW
1364;CMH;PHX
1365;CMH;RSW
